date,cumulCasTotaux,nouveauCasJournalier,casActif,cumulMortTotaux,nouvelleMortJournaliere,id_pays,idContinent
2020-2-24,1.0,0.0,1.0,0.0,0.0,1,3
2020-2-25,1.0,0.0,1.0,0.0,0.0,1,3
2020-2-26,1.0,0.0,1.0,0.0,0.0,1,3
2020-2-27,1.0,0.0,1.0,0.0,0.0,1,3
2020-2-28,1.0,0.0,1.0,0.0,0.0,1,3
2020-2-29,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-01,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-02,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-03,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-04,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-05,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-06,1.0,0.0,1.0,0.0,0.0,1,3
2020-3-07,4.0,3.0,4.0,0.0,0.0,1,3
2020-3-08,4.0,0.0,4.0,0.0,0.0,1,3
2020-3-09,4.0,0.0,4.0,0.0,0.0,1,3
2020-3-10,5.0,1.0,5.0,0.0,0.0,1,3
2020-3-11,7.0,2.0,7.0,0.0,0.0,1,3
2020-3-12,7.0,0.0,7.0,0.0,0.0,1,3
2020-3-13,7.0,0.0,7.0,0.0,0.0,1,3
2020-3-14,11.0,4.0,11.0,0.0,0.0,1,3
2020-3-15,16.0,5.0,15.0,0.0,0.0,1,3
2020-3-16,21.0,5.0,20.0,0.0,0.0,1,3
2020-3-17,22.0,1.0,21.0,0.0,0.0,1,3
2020-3-18,22.0,0.0,21.0,0.0,0.0,1,3
2020-3-19,22.0,0.0,21.0,0.0,0.0,1,3
2020-3-20,24.0,2.0,23.0,0.0,0.0,1,3
2020-3-21,24.0,0.0,23.0,0.0,0.0,1,3
2020-3-22,40.0,16.0,38.0,1.0,1.0,1,3
2020-3-23,40.0,0.0,38.0,1.0,0.0,1,3
2020-3-24,74.0,34.0,72.0,1.0,0.0,1,3
2020-3-25,84.0,10.0,80.0,2.0,1.0,1,3
2020-3-26,94.0,10.0,88.0,4.0,2.0,1,3
2020-3-27,110.0,16.0,104.0,4.0,0.0,1,3
2020-3-28,110.0,0.0,104.0,4.0,0.0,1,3
2020-3-29,120.0,10.0,114.0,4.0,0.0,1,3
2020-3-30,170.0,50.0,164.0,4.0,0.0,1,3
2020-3-31,174.0,4.0,165.0,4.0,0.0,1,3
2020-4-01,237.0,63.0,228.0,4.0,0.0,1,3
2020-4-02,273.0,36.0,257.0,6.0,2.0,1,3
2020-4-03,281.0,8.0,265.0,6.0,0.0,1,3
2020-4-04,309.0,28.0,292.0,7.0,1.0,1,3
2020-4-05,349.0,40.0,327.0,7.0,0.0,1,3
2020-4-06,367.0,18.0,338.0,11.0,4.0,1,3
2020-4-07,423.0,56.0,391.0,14.0,3.0,1,3
2020-4-08,444.0,21.0,401.0,14.0,0.0,1,3
2020-4-09,484.0,40.0,437.0,15.0,1.0,1,3
2020-4-10,521.0,37.0,474.0,15.0,0.0,1,3
2020-4-11,555.0,34.0,505.0,18.0,3.0,1,3
2020-4-12,607.0,52.0,557.0,18.0,0.0,1,3
2020-4-13,665.0,58.0,612.0,21.0,3.0,1,3
2020-4-14,714.0,49.0,651.0,23.0,2.0,1,3
2020-4-15,784.0,70.0,716.0,25.0,2.0,1,3
2020-4-16,840.0,56.0,756.0,30.0,5.0,1,3
2020-4-17,906.0,66.0,777.0,30.0,0.0,1,3
2020-4-18,933.0,27.0,791.0,30.0,0.0,1,3
2020-4-19,996.0,63.0,832.0,33.0,3.0,1,3
2020-4-20,1026.0,30.0,855.0,36.0,3.0,1,3
2020-4-21,1092.0,66.0,906.0,36.0,0.0,1,3
2020-4-22,1176.0,84.0,970.0,40.0,4.0,1,3
2020-4-23,1279.0,103.0,1058.0,42.0,2.0,1,3
2020-4-24,1351.0,72.0,1120.0,43.0,1.0,1,3
2020-4-25,1463.0,112.0,1228.0,47.0,4.0,1,3
2020-4-26,1531.0,68.0,1274.0,50.0,3.0,1,3
2020-4-27,1703.0,172.0,1426.0,57.0,7.0,1,3
2020-4-28,1828.0,125.0,1542.0,58.0,1.0,1,3
2020-4-29,1939.0,111.0,1627.0,60.0,2.0,1,3
2020-4-30,2171.0,232.0,1847.0,64.0,4.0,1,3
